dt[s],5e-10
freqs[MHz],channel,p1[2V/sqrt(Hz)],chi2[TBA]
36.00000000000001,9,7.216192708926244e-08,0
36.00000000000001,10,8.40889083574036e-08,0
36.00000000000001,11,8.685568252408164e-08,0
36.00000000000001,12,9.465722065233564e-08,0
36.00000000000001,13,7.026361901241824e-08,0
36.00000000000001,14,8.498834985990972e-08,0
36.00000000000001,15,8.103134189491061e-08,0
38.0,0,7.268281680184326e-08,0
38.0,1,8.018139277527232e-08,0
38.0,2,1.28907528746549e-07,0
38.0,3,1.5209317292553622e-07,0
38.0,4,1.3710844071980756e-07,0
38.0,5,7.272007942049745e-08,0
38.0,6,1.4653623141889485e-07,0
38.0,7,1.074734406526633e-07,0
38.0,8,1.3490766420069988e-07,0
38.0,9,7.226042076632772e-08,0
38.0,10,8.411769555673615e-08,0
38.0,11,8.69317247318156e-08,0
38.0,12,9.467964861600163e-08,0
38.0,13,7.02052921680602e-08,0
38.0,14,8.513660211315905e-08,0
38.0,15,8.445972117260443e-08,0
40.0,0,7.269870296515904e-08,0
40.0,1,8.086832309604504e-08,0
40.0,2,1.298010191816951e-07,0
40.0,3,1.5303090221014186e-07,0
40.0,4,1.375565863639422e-07,0
40.0,5,7.274161921073814e-08,0
40.0,6,1.4724049957103877e-07,0
40.0,7,1.0821022946172157e-07,0
40.0,8,1.353770400528764e-07,0
40.0,9,7.244816531205331e-08,0
40.0,10,8.440924657802629e-08,0
40.0,11,8.723536467597493e-08,0
40.0,12,9.484163200754239e-08,0
40.0,13,7.079408893191034e-08,0
40.0,14,8.599812352107547e-08,0
40.0,15,8.474373566901377e-08,0
42.0,0,7.272186813880185e-08,0
42.0,1,8.13850676598739e-08,0
42.0,2,1.3030674270154032e-07,0
42.0,3,1.5357116932607478e-07,0
42.0,4,1.3799131090258136e-07,0
42.0,5,7.27542602634504e-08,0
42.0,6,1.4780865671677182e-07,0
42.0,7,1.0825256131415292e-07,0
42.0,8,1.3557518950957462e-07,0
